AP_ID,Floor,Region,Spatial_Info
160,2,Zone_AP_160,"Centroid: (44.19, 184.37), Box: X[35-54] Y[173-194], Area: 404 cells, Contiguous"
161,0,Zone_AP_161,"Centroid: (44.55, 206.56), Box: X[35-54] Y[200-214], Area: 282 cells, Contiguous"
162,0,Zone_AP_162,"Centroid: (38.94, 225.99), Box: X[35-43] Y[213-238], Area: 225 cells, Contiguous"
163,0,Zone_AP_163,"Centroid: (49.03, 226.09), Box: X[44-54] Y[214-238], Area: 273 cells, Contiguous"
164,1,Zone_AP_164,"Centroid: (45.90, 214.16), Box: X[35-54] Y[200-238], Area: 554 cells, Contiguous"
165,1,Zone_AP_165,"Centroid: (41.08, 230.86), Box: X[35-53] Y[217-238], Area: 226 cells, Contiguous"
166,2,Zone_AP_166,"Centroid: (44.44, 208.66), Box: X[35-54] Y[200-218], Area: 366 cells, Contiguous"
167,2,Zone_AP_167,"Centroid: (39.48, 226.62), Box: X[35-48] Y[218-238], Area: 193 cells, Contiguous"
168,2,Zone_AP_168,"Centroid: (48.98, 229.46), Box: X[40-54] Y[217-238], Area: 221 cells, Contiguous"
169,0,Zone_AP_169,"Centroid: (46.51, 250.54), Box: X[35-54] Y[244-260], Area: 249 cells, Contiguous"
170,0,Zone_AP_170,"Centroid: (39.04, 258.02), Box: X[35-47] Y[248-266], Area: 132 cells, Contiguous"
171,0,Zone_AP_171,"Centroid: (45.05, 272.43), Box: X[35-54] Y[261-282], Area: 399 cells, Contiguous"
172,1,Zone_AP_172,"Centroid: (42.63, 250.96), Box: X[35-54] Y[244-264], Area: 270 cells, Contiguous"
173,1,Zone_AP_173,"Centroid: (47.60, 262.83), Box: X[35-54] Y[250-273], Area: 254 cells, Contiguous"
174,1,Zone_AP_174,"Centroid: (43.40, 275.86), Box: X[35-54] Y[266-282], Area: 256 cells, Contiguous"
175,2,Zone_AP_175,"Centroid: (40.33, 250.48), Box: X[35-51] Y[244-263], Area: 183 cells, Contiguous"
176,2,Zone_AP_176,"Centroid: (47.47, 257.36), Box: X[35-54] Y[244-265], Area: 257 cells, Contiguous"
177,2,Zone_AP_177,"Centroid: (44.50, 274.00), Box: X[35-54] Y[266-282], Area: 340 cells, Contiguous"
178,0,Zone_AP_178,"Centroid: (42.12, 297.06), Box: X[35-54] Y[288-312], Area: 326 cells, Contiguous"
179,0,Zone_AP_179,"Centroid: (49.83, 304.38), Box: X[42-54] Y[292-312], Area: 147 cells, Contiguous"
180,0,Zone_AP_180,"Centroid: (44.47, 318.80), Box: X[35-54] Y[310-326], Area: 307 cells, Contiguous"
181,1,Zone_AP_181,"Centroid: (38.58, 294.02), Box: X[35-46] Y[288-304], Area: 119 cells, Contiguous"
182,1,Zone_AP_182,"Centroid: (47.84, 298.00), Box: X[37-54] Y[288-307], Area: 248 cells, Contiguous"
183,1,Zone_AP_183,"Centroid: (44.20, 316.15), Box: X[35-54] Y[305-326], Area: 413 cells, Contiguous"
184,2,Zone_AP_184,"Centroid: (44.50, 297.00), Box: X[35-54] Y[288-306], Area: 380 cells, Contiguous"
185,2,Zone_AP_185,"Centroid: (44.50, 316.50), Box: X[35-54] Y[307-326], Area: 400 cells, Contiguous"
186,0,Zone_AP_186,"Centroid: (15.00, 20.00), Box: X[6-24] Y[5-35], Area: 589 cells, Contiguous"
187,0,Zone_AP_187,"Centroid: (15.22, 52.48), Box: X[6-24] Y[36-71], Area: 644 cells, Contiguous"
188,0,Zone_AP_188,"Centroid: (14.80, 87.92), Box: X[6-24] Y[68-106], Area: 705 cells, Contiguous"
189,1,Zone_AP_189,"Centroid: (15.00, 9.00), Box: X[6-24] Y[5-13], Area: 171 cells, Contiguous"
190,1,Zone_AP_190,"Centroid: (15.64, 18.65), Box: X[6-24] Y[14-25], Area: 193 cells, Contiguous"
191,1,Zone_AP_191,"Centroid: (14.55, 34.40), Box: X[6-24] Y[22-46], Area: 409 cells, Contiguous"
